"Order";"Concept";"Views";"Comments";"Applause";"Shortlist";"Shortlist.views";"Shortlist.comments";"Shortlist.applause";"Winner"
"1";1;"concept_144";209;14;11;0;NA;NA;NA;0
"2";2;"concept_65";317;16;20;1;818;33;34;0
"3";3;"concept_61";232;13;16;0;NA;NA;NA;0
"4";4;"concept_147";626;19;28;1;1573;34;48;1
"5";5;"concept_37";314;4;8;0;NA;NA;NA;0
"6";6;"concept_122";336;11;15;0;NA;NA;NA;0
"7";7;"concept_115";195;5;3;0;NA;NA;NA;0
"8";8;"concept_44";247;18;6;0;NA;NA;NA;0
"9";9;"concept_148";412;26;17;0;NA;NA;NA;NA
"10";10;"concept_114";653;22;14;1;1011;32;23;0
"11";11;"concept_141";333;10;16;0;NA;NA;NA;0
"12";12;"concept_138";205;6;7;0;NA;NA;NA;0
"13";13;"concept_124";582;10;10;0;NA;NA;NA;0
"14";14;"concept_62";597;24;12;0;NA;NA;NA;0
"15";15;"concept_21";207;9;8;0;NA;NA;NA;0
"16";16;"concept_5";277;4;5;0;NA;NA;NA;0
"17";17;"concept_83";275;12;8;0;NA;NA;NA;0
"18";18;"concept_52";301;20;20;0;NA;NA;NA;0
"19";19;"concept_29";159;2;6;0;NA;NA;NA;0
"20";20;"concept_136";171;5;7;0;NA;NA;NA;0
"21";21;"concept_88";517;11;23;1;2821;32;34;0
"22";22;"concept_46";272;2;3;0;NA;NA;NA;0
"23";23;"concept_106";550;20;11;0;NA;NA;NA;0
"24";24;"concept_94";391;18;24;1;1191;38;54;1
"25";25;"concept_86";215;1;6;0;NA;NA;NA;0
"26";26;"concept_113";199;11;7;0;NA;NA;NA;0
"27";27;"concept_68";1448;49;33;1;2919;88;58;0
"28";28;"concept_25";115;2;2;0;NA;NA;NA;0
"29";29;"concept_42";327;2;5;1;1015;19;14;0
"30";30;"concept_51";194;7;10;0;NA;NA;NA;0
"31";31;"concept_59";351;8;4;0;NA;NA;NA;0
"32";32;"concept_39";527;11;23;1;902;14;31;0
"33";33;"concept_9";253;2;5;0;NA;NA;NA;0
"34";34;"concept_36";262;16;11;0;NA;NA;NA;0
"35";35;"concept_74";496;11;10;0;NA;NA;NA;0
"36";36;"concept_72";153;1;2;0;NA;NA;NA;0
"37";37;"concept_1";591;6;7;0;NA;NA;NA;0
"38";38;"concept_3";489;7;12;0;NA;NA;NA;0
"39";39;"concept_100";763;13;17;0;NA;NA;NA;0
"40";40;"concept_90";235;7;6;0;NA;NA;NA;0
"41";41;"concept_57";560;11;15;0;NA;NA;NA;0
"42";42;"concept_45";298;8;14;0;NA;NA;NA;0
"43";43;"concept_55";418;9;16;0;NA;NA;NA;0
"44";44;"concept_19";189;2;6;1;579;29;12;0
"45";45;"concept_12";421;3;3;0;NA;NA;NA;0
"46";46;"concept_109";343;5;6;0;NA;NA;NA;0
"47";47;"concept_116";227;6;9;1;657;21;27;0
"48";48;"concept_7";204;1;5;0;NA;NA;NA;0
"49";49;"concept_134";317;18;9;0;NA;NA;NA;0
"50";50;"concept_135";423;8;4;0;NA;NA;NA;0
"51";51;"concept_89";254;8;4;0;NA;NA;NA;0
"52";52;"concept_146";427;7;3;0;NA;NA;NA;0
"53";53;"concept_47";520;15;16;0;NA;NA;NA;0
"54";54;"concept_128";437;3;7;1;964;13;19;0
"55";55;"concept_102";166;4;4;0;NA;NA;NA;0
"56";56;"concept_23";280;5;8;0;NA;NA;NA;0
"57";57;"concept_60";150;2;2;0;NA;NA;NA;0
"58";58;"concept_93";121;1;1;0;NA;NA;NA;0
"59";59;"concept_133";392;4;5;1;824;19;11;0
"60";60;"concept_149";585;23;16;1;2261;69;42;1
"61";61;"concept_15";89;0;2;0;NA;NA;NA;0
"62";62;"concept_92";163;9;13;1;740;23;24;1
"63";63;"concept_48";256;7;3;0;NA;NA;NA;0
"64";64;"concept_75";111;0;4;0;NA;NA;NA;0
"65";65;"concept_111";213;14;16;0;NA;NA;NA;0
"66";66;"concept_76";162;2;5;0;NA;NA;NA;0
"67";67;"concept_20";172;1;4;0;NA;NA;NA;0
"68";68;"concept_131";203;0;3;0;NA;NA;NA;0
"69";69;"concept_110";93;3;4;0;NA;NA;NA;0
"70";70;"concept_97";479;8;10;0;NA;NA;NA;0
"71";71;"concept_63";238;6;6;0;NA;NA;NA;0
"72";72;"concept_16";208;0;4;0;NA;NA;NA;0
"73";73;"concept_78";202;3;5;0;NA;NA;NA;0
"74";74;"concept_26";154;6;1;0;NA;NA;NA;0
"75";75;"concept_56";475;2;5;0;NA;NA;NA;0
"76";76;"concept_142";127;2;5;1;696;11;17;1
"77";77;"concept_104";419;4;7;0;NA;NA;NA;0
"78";78;"concept_22";400;10;10;1;1044;39;19;0
"79";79;"concept_10";447;5;8;0;NA;NA;NA;0
"80";80;"concept_79";204;5;4;0;NA;NA;NA;0
"81";81;"concept_13";286;1;5;0;NA;NA;NA;0
"82";82;"concept_87";107;0;3;0;NA;NA;NA;0
"83";83;"concept_103";976;10;43;0;NA;NA;NA;0
"84";84;"concept_107";398;8;7;1;700;12;14;0
"85";85;"concept_120";531;6;16;0;NA;NA;NA;0
"86";86;"concept_43";150;1;5;0;NA;NA;NA;0
"87";87;"concept_28";159;3;1;0;NA;NA;NA;0
"88";88;"concept_123";434;8;7;0;NA;NA;NA;0
"89";89;"concept_84";233;6;4;0;NA;NA;NA;0
"90";90;"concept_24";219;1;2;0;NA;NA;NA;0
"91";91;"concept_132";145;9;2;0;NA;NA;NA;0
"92";92;"concept_71";354;12;9;0;NA;NA;NA;0
"93";93;"concept_77";430;9;8;0;NA;NA;NA;0
"94";94;"concept_137";103;5;3;0;NA;NA;NA;0
"95";95;"concept_40";174;0;5;0;NA;NA;NA;0
"96";96;"concept_125";431;17;11;0;NA;NA;NA;0
"97";97;"concept_82";127;8;5;0;NA;NA;NA;0
"98";98;"concept_50";138;2;2;0;NA;NA;NA;0
"99";99;"concept_54";289;2;9;0;NA;NA;NA;0
"100";100;"concept_91";149;3;2;0;NA;NA;NA;0
"101";101;"concept_145";427;7;3;0;NA;NA;NA;0
"102";102;"concept_34";100;1;2;0;NA;NA;NA;0
"103";103;"concept_49";118;3;2;0;NA;NA;NA;0
"104";104;"concept_105";111;3;6;0;NA;NA;NA;0
"105";105;"concept_85";93;2;3;0;NA;NA;NA;0
"106";106;"concept_27";113;1;3;0;NA;NA;NA;0
"107";107;"concept_58";589;7;11;0;NA;NA;NA;0
"108";108;"concept_127";91;2;1;0;NA;NA;NA;0
"109";109;"concept_73";439;13;5;0;NA;NA;NA;0
"110";110;"concept_18";191;2;20;1;811;33;42;0
"111";111;"concept_99";130;1;4;0;NA;NA;NA;0
"112";112;"concept_41";84;2;3;0;NA;NA;NA;0
"113";113;"concept_80";249;4;10;0;NA;NA;NA;0
"114";114;"concept_95";228;4;1;0;NA;NA;NA;0
"115";115;"concept_143";129;0;3;0;NA;NA;NA;0
"116";116;"concept_31";183;8;5;0;NA;NA;NA;0
"117";117;"concept_17";304;4;1;0;NA;NA;NA;0
"118";118;"concept_101";418;2;5;0;NA;NA;NA;0
"119";119;"concept_64";119;2;4;0;NA;NA;NA;0
"120";120;"concept_66";411;2;2;0;NA;NA;NA;0
"121";121;"concept_69";98;1;1;0;NA;NA;NA;0
"122";122;"concept_126";635;17;11;1;1495;39;26;1
"123";123;"concept_8";169;1;4;0;NA;NA;NA;0
"124";124;"concept_118";134;10;2;0;NA;NA;NA;0
"125";125;"concept_139";76;2;1;0;NA;NA;NA;0
"126";126;"concept_11";661;2;3;0;NA;NA;NA;0
"127";127;"concept_119";75;0;2;0;NA;NA;NA;0
"128";128;"concept_112";92;1;1;0;NA;NA;NA;0
"129";129;"concept_117";410;4;7;0;NA;NA;NA;0
"130";130;"concept_70";111;1;7;0;NA;NA;NA;0
"131";131;"concept_108";475;10;9;0;NA;NA;NA;0
"132";132;"concept_129";366;3;5;1;864;20;17;0
"133";133;"concept_4";436;6;4;0;NA;NA;NA;0
"134";134;"concept_2";123;1;1;0;NA;NA;NA;0
"135";135;"concept_30";219;6;8;0;NA;NA;NA;0
"136";136;"concept_53";469;2;4;0;NA;NA;NA;0
"137";137;"concept_14";79;1;5;0;NA;NA;NA;0
"138";138;"concept_96";92;3;1;0;NA;NA;NA;0
"139";139;"concept_32";196;13;3;0;NA;NA;NA;0
"140";140;"concept_121";76;0;4;0;NA;NA;NA;0
"141";141;"concept_35";131;3;4;0;NA;NA;NA;0
"142";142;"concept_140";456;7;12;0;NA;NA;NA;0
"143";143;"concept_98";96;2;5;0;NA;NA;NA;0
"144";144;"concept_33";81;0;4;0;NA;NA;NA;0
"145";145;"concept_130";99;8;5;0;NA;NA;NA;0
"146";146;"concept_38";91;4;1;0;NA;NA;NA;0
"147";147;"concept_81";692;9;12;0;NA;NA;NA;0
"148";148;"concept_67";81;0;5;0;NA;NA;NA;0
"149";149;"concept_6";377;4;16;0;NA;NA;NA;0
